Overall Rank (1=Best),State,Total Score,Quality Rank,Safety Rank
1,Massachusetts,71.73,1,1
2,Connecticut,66.25,2,19
3,New Jersey,65.64,3,15
4,Virginia,63.75,3,15
5,Vermont,61.65,8,3
6,New Hampshire,61.27,7,6
7,Minnesota,59.89,6,22
8,Wisconsin,59.66,5,24
9,Delaware,59.65,15,2
10,Maryland,58.51,11,9
11,Nebraska,58.42,12,8
12,New York,57.03,16,10
13,Illinois,57.03,10,28
14,North Dakota,56.76,9,34
15,Indiana,55.16,23,12
16,Kentucky,54.73,14,33
17,Colorado,54.71,17,27
18,Utah,54.71,20,18
19,Wyoming,54.45,18,29
20,Maine,54.23,24,14
21,Washington,53.99,26,5
22,Florida,53.71,19,35
23,Iowa,53.7,25,16
24,Pennsylvania,53.26,22,30
25,South Dakota,52.83,13,46
26,Montana,52.39,21,42
27,Rhode Island,51.98,29,11
28,Texas,51.79,30,13
29,Kansas,51.56,27,25
30,North Carolina,51,28,21
31,Hawaii,48.22,36,26
32,Ohio,48.01,33,39
33,Michigan,47.5,34,38
34,Georgia,47.45,37,36
35,Tennessee,47.11,31,45
36,Missouri,46.72,32,48
37,California,45.93,38,32
38,Idaho,45.02,35,50
39,West Virginia,43.54,45,7
40,Oregon,43.24,40,37
41,District of Columbia,42.38,41,44
42,Arkansas,41.76,39,51
43,South Carolina,41.44,42,41
44,Alabama,41.21,46,17
45,Nevada,41.02,44,40
46,Mississippi,40.94,43,43
47,Oklahoma,38.74,48,20
48,Alaska,38.6,47,23
49,Arizona,36.84,50,31
50,Louisiana,34.65,49,47
51,New Mexico,27.61,51,49
